iter	Passed	Remaining
469	693	781
470	696	781
471	708	792
472	709	790
473	710	788
474	711	786
475	712	783
476	712	781
477	713	779
478	714	776
479	714	774
480	715	771
481	715	769
482	716	766
483	716	764
484	717	761
485	718	759
486	718	757
487	719	754
488	720	752
489	721	750
490	721	748
491	722	745
492	723	743
493	728	746
494	739	754
495	740	752
496	742	750
497	742	748
498	743	746
499	743	743
500	744	741
501	744	738
502	745	736
503	746	734
504	746	731
505	747	729
506	748	727
507	748	725
508	749	723
509	750	720
510	750	718
511	751	716
512	752	714
513	752	711
514	753	709
515	754	707
516	754	705
517	755	702
518	756	701
519	757	699
520	758	697
521	759	695
522	759	693
523	760	690
524	761	688
525	761	686
526	762	684
527	763	682
528	763	680
529	764	677
530	765	675
531	768	676
532	781	684
533	782	682
534	783	680
535	784	679
536	785	677
537	786	675
538	787	673
539	787	671
540	788	668
541	789	666
542	789	664
543	790	662
544	791	660
545	792	658
546	792	656
547	793	654
548	794	652
549	794	650
550	795	648
551	796	646
552	797	644
553	798	642
554	798	640
555	799	638
556	800	636
557	800	634
558	801	632
559	802	630
560	803	628
561	804	626
562	805	625
563	806	623
564	806	621
565	807	619
566	809	618
567	823	626
568	824	624
569	824	622
570	825	620
571	826	618
572	826	616
573	827	614
574	828	612
575	828	610
576	829	607
577	829	605
578	830	603
579	831	601
580	831	599
581	832	598
582	833	596
583	835	594
584	836	593
585	837	591
586	838	589
587	850	595
588	854	596
589	855	594
590	856	592
591	857	590
592	857	588
593	858	586
594	858	584
595	859	582
596	860	580
597	860	578
598	861	576
599	861	574
600	862	572
601	863	570
602	863	568
603	864	566
604	865	564
605	865	562
606	866	561
607	867	559
608	867	557
609	869	556
610	884	563
611	885	561
612	885	559
613	887	557
614	887	555
615	888	553
616	888	551
617	889	549
618	890	547
619	890	545
620	891	544
621	892	542
622	893	540
623	894	538
624	895	537
625	895	535
626	896	533
627	897	531
628	897	529
629	898	527
630	901	526
631	915	532
632	916	531
633	917	529
634	917	527
635	918	525
636	918	523
637	919	521
638	919	519
639	920	517
640	921	515
641	921	513
642	922	512
643	922	510
644	924	508
645	924	506
646	926	505
647	926	503
648	927	501
649	928	499
650	928	497
651	929	495
652	935	497
653	945	500
654	947	498
655	947	496
656	948	495
657	948	493
658	949	491
659	950	489
660	950	487
661	951	485
662	951	483
663	952	482
664	953	480
665	954	478
666	954	476
667	955	475
668	956	473
669	957	471
670	957	469
671	958	467
672	959	466
673	959	464
674	960	462
675	961	460
676	961	458
677	962	457
678	963	455
679	964	453
680	965	452
681	965	450
682	966	448
683	966	446
684	967	444
685	968	443
686	969	441
687	970	440
688	971	438
689	971	436
690	972	434
691	973	433
692	973	431
693	974	429
694	975	427
695	975	426
696	976	424
697	976	422
698	989	426
699	992	425
700	993	423
701	995	422
702	995	420
703	996	418
704	996	417
705	997	415
706	998	413
707	998	411
708	999	410
709	1000	408
710	1001	407
711	1002	405
712	1002	403
713	1003	401
714	1003	400
715	1004	398
716	1005	396
717	1005	394
718	1006	393
719	1014	394
720	1021	395
721	1023	393
722	1023	392
723	1024	390
724	1024	388
725	1025	386
726	1025	385
727	1026	383
728	1026	381
729	1027	379
730	1027	378
731	1028	376
732	1030	375
733	1030	373
734	1031	371
735	1032	370
736	1033	368
737	1033	366
738	1034	365
739	1034	363
740	1035	361
741	1036	360
742	1043	360
743	1051	361
744	1051	360
745	1052	358
746	1053	356
747	1053	355
748	1054	353
749	1055	351
750	1055	350
751	1056	348
752	1056	346
753	1057	345
754	1058	343
755	1059	341
756	1059	340
757	1060	338
758	1061	336
759	1061	335
760	1062	333
761	1063	332
762	1063	330
763	1064	328
764	1065	327
765	1068	326
766	1081	328
767	1082	326
768	1083	325
769	1083	323
770	1084	322
771	1085	320
